District,ecoli,pH,Electrical Conductivity,turbidity,Color (Apparent),Total dissolved salts,Total Alkalinity ,Bicarbonates,Total hardness ,Calcium Hardardness ,magnesium hardness,Flouride,Chloride,sulphate,Nitrites ,Nitrates-N ,Ammonium-N ,Phosphates-P 
Jinja,0,72.1,4589,30.01,204,0,1423,0,2036,1050,0,3.58077,0,451.53007,0.18178,49.25911,0.42574,1.68297
Bugiri,0,79.6,4798,36.93,355,0,2193,0,1682,1015,0,3.19184,0,125.87296,0.29074,59.18489,2.23117,2.13463
Iganga,0,49.7,2696,18.17,82,0,448,0,723,441.6,0,1.36203,0,179.71305,0.30268,92.4801,2.35419,0.85432
Mukono,0,39.3,1009,73.75,690.2432,0,105.4,0,229,124.8,0,0.84116,0,30.25577,0.03168,55.12447,0.92367,0.45655
Luweero,56,87.15,5014.3,38.8,84.9728,3510.01,1002,1222.44,1385.8,681.4,704.4,4.57462,375.58101,276.51204,2.39328,122.59542,1.20356,5.29989
Nakaseke,46,92.45,3455,85,300.216,2418.5,1120,1366.4,1156.4,531.8,624.6,5.06434,138.44422,250.0568,0.15051,51.88151,0.94495,3.20999
Nakasonga,57,59.67,3470,19.2,82.9728,2429,934,1139.48,1065.6,514.2,551.4,4.35892,367.93268,118.54194,0.0392,54.49354,0.55865,2.32285
Buikwe,108,49.5,1070,27.7,77.7296,749,450,549,412.2,229.6,182.6,1.54,31.8,16.7,0.036,14.41,0.6,0.52
Kamuli,106,78,4838,26,20.432,3386.6,1217,1484.74,1495.6,869,626.6,3.9,305.9,412.9,0.175,100.34,1.002,1.3
Kayunga,10,60.8,4127,19.1,13.9456,2888.9,1489,1816.58,1381.4,773.4,608,3.38,418.3,242.2,0.038,65.41,0.642,0.89
Kamwenge,336,108.19,4278.6,149.36,0,2995.02,0,0,0,0,0,0,104.84416,595.09515,0.41994,0.04067,8.7697,0.40022
Lamwo,0,247.79,22198.1,426.498,15538.67,0,12012,14654.64,8588,2851.2,1376.832,25.77,233.31,55.09,91.94,59.26,0,0
Mubende,2,11.2,460,3.59,0,322,193,235.46,191,57,134,0.35652,18.63158,16.008,3.90623,0.00398,0.11418,0.21813
Luuka,5,38.2,2125,8.43,0,1487.5,0,0,0,0,0,0,66.68976,221.31035,0.01807,46.95696,0.16643,1.06472
Bugweri,2,12.9,534,3.71,1,373.8,202,246.44,210,156,54,0.18194,9.88684,23.53172,0.00293,13.40169,0.0098,0.2182
Wakiso,55,44.25,1368,39.16,0,957.6,201.6,245.952,384,165.4,218.6,1.15314,0,14.12292,0.04063,68.33986,2.19554,0.80265
